@id,@lat,@lon,amenity,int_name,name,name:en,addr:city,addr:street,addr:postcode,phone,website
364055426,42.0099438,21.3714984,fuel,,Лукоил,,,,,,
369776669,41.9746802,21.4542071,fuel,,Супертрејд,,,,,,
504016147,41.9996401,21.5705814,fuel,Makpetrol,Макпетрол,Makpetrol,,,,,
1357097237,42.0244681,21.3507382,fuel,Makpetrol,Макпетрол,Makpetrol,,,,,
1381708720,42.0177183,21.4304245,fuel,Makpetrol,Макпетрол,Makpetrol,Cкoпje,,1000,,http://makpetrol.mk
1850351707,42.0527787,21.4502851,fuel,,Евро Оил,,,,,,
1850422160,42.0549098,21.4512288,fuel,,Окта,,,,,,
2248140977,41.9765627,21.4433824,fuel,Makpetrol,Макпетрол,Makpetrol,Cкoпje,,1000,,http://makpetrol.mk
2248576388,41.9439857,21.4976245,fuel,Lukoil,Лукоил,Lukoil,,Борис Трајковски,,,
2250281755,42.0297687,21.4444186,fuel,Makpetrol,Макпетрол,Makpetrol,,,,,
2250281764,41.9362492,21.5130861,fuel,Makpetrol,Макпетрол,Makpetrol,,,,,
2250439669,42.0328615,21.4018514,fuel,Makpetrol,Макпетрол,Makpetrol,,,,,
2258180465,41.9689531,21.5702815,fuel,Makpetrol,Макпетрол,Makpetrol,,,,,
2258180483,41.9957700,21.5499665,fuel,Makpetrol,Макпетрол,Makpetrol,,,,,
3789130262,41.9482661,21.4941204,fuel,,РТ Петрол,RT Petrol,,,,,
3804952223,41.9918127,21.4928064,fuel,,Мотоцентар,,,,,,
3804952226,41.9900511,21.4963956,fuel,,АП Петрол,AP Petrol,,,,,
4739771021,42.0017496,21.4606362,fuel,,Дома,Doma,,Јани Лукровски,1000,,
5584459881,42.0023986,21.4039653,fuel,,Макпетрол,Makpetrol,Cкoпje,Булевар Партизански Одреди,1000,,http://www.makpetrol.mk
6080715746,41.9842064,21.4512820,fuel,,Макпетрол,Makpetrol,,,,,
6287211825,42.0301064,21.4289322,fuel,,okτΔ,,,,,,
7058905685,41.9941052,21.5432026,fuel,,Дени Интернационал,Deni International,,,,,
9956737050,41.9994105,21.4554531,fuel,,Окта,,,,,,
1000000163004439,42.0020443,21.4605883,fuel,Makpetrol,Макпетрол,Makpetrol,Cкoпje,Јани Лукровски,1000,,http://makpetrol.mk
